,Faraday depth,Real FDF,Imag FDF,Abs FDF,chi FDF
42,-995.7997899894995,0.0,0.0,0.0,0.0
43,-995.6997849892495,0.0,0.0,0.0,0.0
44,-995.5997799889994,0.0,0.0,0.0,0.0
45,-995.4997749887494,0.0,0.0,0.0,0.0
46,-995.3997699884994,0.0,0.0,0.0,0.0
47,-995.2997649882494,0.0,0.0,0.0,0.0
48,-995.1997599879994,0.0,0.0,0.0,0.0
49,-995.0997549877494,0.0,0.0,0.0,0.0
50,-994.9997499874994,0.0,0.0,0.0,0.0
51,-994.8997449872494,0.0,0.0,0.0,0.0
52,-994.7997399869994,0.0,0.0,0.0,0.0
53,-994.6997349867494,0.0,0.0,0.0,0.0
54,-994.5997299864994,0.0,0.0,0.0,0.0
55,-994.4997249862494,0.0,0.0,0.0,0.0
56,-994.3997199859994,0.0,0.0,0.0,0.0
57,-994.2997149857492,0.0,0.0,0.0,0.0
58,-994.1997099854992,0.0,0.0,0.0,0.0
59,-994.0997049852492,0.0,0.0,0.0,0.0
60,-993.9996999849992,0.0,0.0,0.0,0.0
61,-993.8996949847492,0.0,0.0,0.0,0.0
62,-993.7996899844992,0.0,0.0,0.0,0.0
63,-993.6996849842492,0.0,0.0,0.0,0.0
64,-993.5996799839992,0.0,0.0,0.0,0.0
65,-993.4996749837492,0.0,0.0,0.0,0.0
66,-993.3996699834992,0.0,0.0,0.0,0.0
67,-993.2996649832492,0.0,0.0,0.0,0.0
68,-993.1996599829992,0.0,0.0,0.0,0.0
69,-993.0996549827491,0.0,0.0,0.0,0.0
70,-992.9996499824991,0.0,0.0,0.0,0.0
71,-992.8996449822491,0.0,0.0,0.0,0.0
72,-992.7996399819991,0.0,0.0,0.0,0.0
73,-992.6996349817491,0.0,0.0,0.0,0.0
74,-992.5996299814991,0.0,0.0,0.0,0.0
75,-992.4996249812491,0.0,0.0,0.0,0.0
76,-992.3996199809991,0.0,0.0,0.0,0.0
77,-992.2996149807491,0.0,0.0,0.0,0.0
78,-992.1996099804991,0.0,0.0,0.0,0.0
79,-992.0996049802491,0.0,0.0,0.0,0.0
80,-991.999599979999,0.0,0.0,0.0,0.0
81,-991.8995949797489,0.0,0.0,0.0,0.0
82,-991.7995899794989,0.0,0.0,0.0,0.0
83,-991.6995849792489,0.0,0.0,0.0,0.0
84,-991.5995799789989,0.0,0.0,0.0,0.0
85,-991.4995749787489,0.0,0.0,0.0,0.0
86,-991.3995699784989,0.0,0.0,0.0,0.0
87,-991.2995649782489,0.0,0.0,0.0,0.0
88,-991.1995599779989,0.0,0.0,0.0,0.0
89,-991.0995549777489,0.0,0.0,0.0,0.0
90,-990.9995499774989,0.0,0.0,0.0,0.0
